win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 6170, 3, 31, 48, 6118425, 4765275, 0.44, 75, 500, 23, 287, 300, 5, 39, 39
0, 3966, 6, 37, 25, 4737375, 3351675, 0.44, 75, 500, 23, 183, 300, 5, 68, 50
0, 5946, 8, 52, 36, 6262125, 4872750, 0.44, 75, 500, 23, 285, 300, 5, 56, 41
1, 1789, 2, 13, 8, 1666725, 2403450, 0.44, 75, 500, 23, 71, 300, 5, 42, 22
0, 7800, 6, 55, 58, 7264725, 6440250, 0.44, 75, 500, 23, 356, 300, 5, 40, 41
0, 4668, 7, 49, 24, 5293125, 3898275, 0.44, 75, 500, 23, 215, 300, 5, 47, 26
0, 2420, 1, 8, 10, 2376825, 1079700, 0.44, 75, 500, 23, 105, 300, 5, 41, 33
0, 7800, 4, 70, 52, 7551975, 6603450, 0.44, 75, 500, 23, 366, 300, 5, 44, 34
0, 4914, 3, 34, 21, 4894350, 3593925, 0.44, 75, 500, 23, 227, 300, 5, 23, 8
0, 7752, 5, 68, 54, 7496925, 6168600, 0.44, 75, 500, 23, 365, 300, 5, 68, 52
1, 714, 6, 7, 9, 713100, 741525, 0.44, 75, 500, 16, 18, 300, 5, 53, 53
0, 6329, 7, 75, 38, 6424500, 5059800, 0.44, 75, 500, 23, 304, 300, 5, 7, 3
0, 5499, 1, 33, 39, 5285625, 3946200, 0.44, 75, 500, 23, 255, 300, 5, 22, 23
0, 5887, 3, 37, 52, 6092100, 4750275, 0.44, 75, 500, 23, 272, 300, 5, 7, 9
1, 2769, 5, 21, 14, 1772325, 1899450, 0.44, 75, 500, 16, 68, 300, 5, 10, 4
0, 5023, 4, 34, 29, 5200500, 3886500, 0.44, 75, 500, 23, 230, 300, 5, 72, 58
0, 4804, 11, 48, 35, 5175525, 3789225, 0.44, 75, 500, 23, 223, 300, 5, 23, 13
0, 4199, 7, 40, 28, 4155450, 2837025, 0.44, 75, 500, 23, 198, 300, 5, 65, 56
