win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 2109, 6, 14, 15, 2022075, 1578600, 0.44, 75, 500, 23, 86, 300, 2, 60, 61
0, 1829, 5, 19, 12, 1778400, 1494750, 0.44, 75, 500, 23, 67, 300, 2, 12, 9
0, 903, 3, 6, 5, 1102200, 759825, 0.44, 75, 500, 23, 37, 300, 2, 35, 18
0, 1190, 3, 10, 6, 1427550, 1178025, 0.44, 75, 500, 23, 44, 300, 2, 74, 62
0, 2402, 8, 25, 26, 2473050, 2011950, 0.44, 75, 500, 23, 95, 300, 2, 42, 36
0, 750, 7, 12, 9, 845625, 556350, 0.44, 75, 500, 23, 25, 300, 2, 51, 45
0, 1459, 5, 8, 10, 1827600, 1104750, 0.44, 75, 500, 23, 64, 300, 2, 17, 16
0, 549, 4, 6, 6, 892650, 823350, 0.44, 75, 500, 23, 23, 300, 2, 23, 17
0, 1571, 14, 20, 17, 2405550, 1959300, 0.44, 75, 500, 23, 66, 300, 2, 25, 19
0, 590, 1, 2, 2, 847275, 443325, 0.44, 75, 500, 23, 23, 300, 2, 39, 22
0, 441, 3, 4, 4, 781875, 555525, 0.44, 75, 500, 23, 18, 300, 2, 28, 34
0, 1247, 5, 8, 10, 1466250, 1285500, 0.44, 75, 500, 23, 52, 300, 2, 41, 27
0, 960, 5, 8, 10, 1105875, 936300, 0.44, 75, 500, 23, 36, 300, 2, 47, 39
0, 1104, 5, 12, 7, 1565775, 1011375, 0.44, 75, 500, 23, 47, 300, 2, 54, 30
0, 1145, 2, 3, 4, 1852200, 1826025, 0.44, 75, 500, 23, 52, 300, 2, 57, 48
0, 2361, 11, 30, 29, 2756625, 1968825, 0.44, 75, 500, 23, 101, 300, 2, 7, 6
1, 809, 8, 10, 12, 1272825, 1344600, 0.44, 75, 500, 23, 34, 300, 2, 49, 41
0, 995, 5, 6, 6, 1238250, 923475, 0.44, 75, 500, 23, 38, 300, 2, 27, 26
0, 628, 3, 4, 4, 885750, 417750, 0.44, 75, 500, 23, 28, 300, 2, 54, 45
1, 914, 7, 9, 11, 1009875, 1210275, 0.44, 75, 500, 23, 35, 300, 2, 61, 37
1, 354, 5, 6, 7, 573375, 621225, 0.44, 75, 500, 23, 13, 300, 2, 44, 50
0, 2349, 3, 6, 26, 2549175, 2126175, 0.44, 75, 500, 23, 105, 300, 2, 14, 19
0, 841, 6, 9, 12, 689325, 550425, 0.44, 75, 500, 16, 17, 300, 2, 34, 31
0, 794, 5, 6, 8, 1199550, 958800, 0.44, 75, 500, 23, 29, 300, 2, 63, 64
0, 1139, 7, 17, 10, 1694250, 1242900, 0.44, 75, 500, 23, 49, 300, 2, 75, 34
0, 1102, 7, 13, 13, 1581750, 1262625, 0.44, 75, 500, 23, 49, 300, 2, 30, 28
0, 3598, 11, 25, 22, 4055025, 3524400, 0.44, 75, 500, 23, 155, 300, 2, 18, 14
0, 462, 2, 3, 4, 436425, 422100, 0.44, 75, 500, 16, 8, 300, 2, 68, 56
1, 800, 5, 7, 10, 697500, 761775, 0.44, 75, 500, 16, 17, 300, 2, 18, 15
1, 683, 2, 3, 8, 557250, 744375, 0.44, 75, 500, 16, 13, 300, 2, 41, 41
0, 885, 5, 7, 6, 1211850, 821475, 0.44, 75, 500, 23, 38, 300, 2, 60, 50
0, 1037, 4, 5, 9, 863100, 716625, 0.44, 75, 500, 16, 25, 300, 2, 51, 38
0, 1517, 3, 21, 10, 1544100, 1117500, 0.44, 75, 500, 23, 60, 300, 2, 16, 9
0, 945, 6, 7, 8, 1354650, 1005975, 0.44, 75, 500, 23, 41, 300, 2, 59, 49
0, 1242, 8, 18, 11, 1104600, 716100, 0.44, 75, 500, 16, 22, 300, 2, 66, 39
