,kls=results&ty=por&q=0.48&ds=1.25&daa=500&scale=0.0625,kls=results&ty=por&q=0.48&ds=2.5&daa=500&scale=0.125,kls=results&ty=por&q=0.48&ds=5&daa=500&scale=0.25,kls=results&ty=por&q=0.48&ds=10&daa=500&scale=0.5,kls=results&ty=por&q=0.48&ds=20&daa=500&scale=1,kls=results&ty=trad&q=0.48&ds=20&daa=500&scale=1,kls=analytical&ty=trad&q=0.48&ds=20.0&daa=0&scale=1
1.15,,,,,,,0.787213248932516
1.1875,0.5524444444444444,,,,,,
1.2,,,,,,,0.7827023178664868
1.25,,,0.7033333333333334,,,,0.7782924316563367
1.3,,,,,,,0.773977657871967
1.3125,0.5308888888888889,,,,,,
1.35,,,,,,,0.7697526313823124
1.375,,0.6383333333333333,,,,,
1.4,,,,,,,0.7656124809803609
1.45,,,,,,,0.7615527677862188
1.5,,,0.6686666666666666,0.6743333333333333,,,0.7575694331961706
1.55,,,,,,,0.753658754629045
1.6,,,,,,,0.7498173076876496
1.625,,0.5978888888888889,,,,,
1.65,,,,,,,0.7460419336336462
1.7,,,,,,,0.7423297112910916
1.75,,,0.6498888888888888,,,,0.7386779326629146
1.8,,,,,,,0.7350840816774337
1.85,,,,,,,0.7315458155871949
1.875,0.43977777777777777,0.5744444444444444,,,,,
1.9,,,,,,,0.7280609486262747
1.95,,,,,,,0.7246274375995154
2.0,,,,0.6436666666666667,0.6742222222222222,0.6929444444444445,0.7212433691315415
2.05,,,,,,,0.7179069483475967
2.1,,,,,,,0.7146164887943536
2.125,,0.5475555555555556,,,,,
2.15,,,,,,,0.7113704034385142
2.2,,,,,,,0.7081671966055149
2.25,,,0.6104444444444445,,,,0.7050054567409717
2.3,,,,,,,0.7018838498944425
2.35,,,,,,,0.6988011138392545
2.375,,0.5332222222222223,,,,,
2.4,,,,,,,0.6957560527540685
2.45,,,,,,,0.6927475324019048
2.5,,,,0.6056666666666667,,,0.6897744757508719
2.55,,,,,,,0.6868358589880845
2.6,,,,,,,0.683930707884431
2.625,0.36188888888888887,0.5101111111111111,,,,,
2.65,,,,,,,0.6810580944731385
2.7,,,,,,,0.6782171340096232
2.75,,,0.5723333333333334,,,,0.6754069821840234
2.8,,,,,,,0.672626832561187
2.85,,,,,,,0.6698759142258136
2.9,,,,,,,0.6671534896129877
2.95,,,,,,,0.6644588525065547
3.0,,,,0.5804444444444444,0.626,0.6183333333333333,0.6617913261897215
3.05,,,,,,,0.6591502617339511
3.1,,,,,,,0.6565350364137087
3.15,,,,,,,0.653945052235912
3.2,,,,,,,0.6513797345740943
3.25,,,0.5445555555555556,,,,0.6488385308982977
3.3,,,,,,,0.6463209095926125
3.35,,,,,,,0.6438263588530739
3.4,,,,,,,0.6413543856593331
3.45,,,,,,,0.6389045148141483
3.5,,,,0.5487777777777778,,,0.6364762880452999
3.55,,,,,,,0.6340692631650391
3.6,,,,,,,0.6316830132826179
3.65,,,,,,,0.6293171260658601
3.7,,,,,,,0.6269712030480821
3.75,0.28144444444444444,0.4262222222222222,0.5133333333333333,,,,0.6246448589770037
3.8,,,,,,,0.6223377212025762
3.85,,,,,,,0.6200494291009168
3.9,,,,,,,0.6177796335317777
3.95,,,,,,,0.6155279963271917
4.0,,,,,0.5845555555555556,0.5613333333333334,0.6132941898091271
4.05,,,,,,,0.6110778963341641
4.1,,,,,,,0.6088788078633622
4.15,,,,,,,0.6066966255556336
4.2,,,,,,,0.6045310593830674
4.25,,,0.489,,,,0.6023818277667743
4.3,,,,,,,0.6002486572319242
4.35,,,,,,,0.5981312820807556
4.4,,,,,,,0.5960294440824203
4.45,,,,,,,0.5939428921786183
4.5,,,,0.5131111111111111,,,0.5918713822040464
4.55,,,,,,,0.5898146766207596
4.6,,,,,,,0.5877725442656057
4.65,,,,,,,0.5857447601099559
4.7,,,,,,,0.5837311050310034
4.75,,,0.4678888888888889,,,,0.5817313655939584
4.8,,,,,,,0.579745333844507
4.85,,,,,,,0.5777728071109518
4.9,,,,,,,0.5758135878154838
4.95,,,,,,,0.5738674832940751
5.0,,,,,0.5435555555555556,0.5033333333333333,0.5719343056245177
5.1,,,,,,,0.5681060018829123
5.25,,0.3478888888888889,0.44477777777777777,,,,0.5624560546048447
5.4,,,,,,,0.556913141400875
5.5,,,,0.48088888888888887,,,
5.55,,,,,,,0.5514730650717867
5.7,,,,,,,0.5461319030564618
5.85,,,,,,,0.5408859825204155
6.0,,,,,0.49522222222222223,0.4673333333333333,0.5357318582910916
6.15,,,,,,,0.5306662932513189
6.3,,,,,,,0.5256862408635747
6.45,,,,,,,0.52078882954806
6.5,,,,0.43755555555555553,,,
6.6,,,,,,,0.5159713486792101
6.75,,,,,,,0.511231235999835
6.9,,,,,,,0.506566066280908
7.0,,,,,0.4696666666666667,0.4261111111111111,
7.05,,,,,,,0.5019735410791824
7.2,,,,,,,0.49745147946513524
7.35,,,,,,,0.49299780961089623
7.5,,0.266,0.3661111111111111,0.401,,,0.48861056114237367
7.65,,,,,,,0.4842878581721597
7.8,,,,,,,0.48002791294037084
7.95,,,,,,,0.4758290199996229
8.1,,,,,,,0.47168955088812226
8.25,,,,,,,0.46760794924155036
8.4,,,,,,,0.46358272630021746
8.5,,,,0.3801111111111111,,,
8.55,,,,,,,0.45961245677297613
8.7,,,,,,,0.4556957750237546
8.85,,,,,,,0.45183137155036557
9.0,,,,,0.41355555555555557,0.3466666666666667,0.44801798972857476
9.15,,,,,,,0.44425442279731553
9.3,,,,,,,0.4405395110634922
9.45,,,,,,,0.4368721393070597
9.5,,,,0.35777777777777775,,,
9.6,,,,,,,0.43325123436904545
9.75,,,,,,,0.42967576290692977
9.9,,,,,,,0.42614472930334846
10.25,,,,,,,0.4180731364401211
10.5,,,,0.3422222222222222,,,0.41244627580794746
10.75,,,,,,,0.4069304312910099
11.0,,,,,0.3615555555555556,0.30266666666666664,0.40152191133327075
11.25,,,,,,,0.39621722226073186
11.5,,,,,,,0.3910130533483972
11.75,,,,,,,0.385906263323344
12.0,,,,,,,0.3808938681377888
12.25,,,,,,,0.37597302986832526
12.5,,,,,,,0.37114104661642355
12.75,,,,,,,0.36639534330136847
13.0,,,,,0.3293333333333333,0.25822222222222224,0.36173346325055966
13.25,,,,,,,0.3571530605038752
13.5,,,,,,,0.35265189275891506
13.75,,,,,,,0.3482278148926752
14.0,,,,,,,0.3438787730027436
14.25,,,,,,,0.33960279891765377
14.5,,,,,,,0.3353980051317188
14.75,,,,,,,0.3312625801246297
15.0,,,,0.2578888888888889,0.2962222222222222,0.21788888888888888,0.327194784030432
15.25,,,,,,,0.3231929446242905
15.5,,,,,,,0.3192554535987876
15.75,,,,,,,0.315380763104429
16.0,,,,,,,0.31156738253161964
16.25,,,,,,,0.30781387551365735
16.5,,,,,,,0.3041188571323169
16.75,,,,,,,0.30048099130938966
17.0,,,,,0.2677777777777778,0.18811111111111112,0.29689898836914574
17.25,,,,,,,0.29337160275810215
17.5,,,,,,,0.28989763090975373
17.75,,,,,,,0.28647590924305255
18.0,,,,,,,0.28310531228444236
18.25,,,,,,,0.27978475090415855
18.5,,,,,,,0.27651317065832715
18.75,,,,,,,0.2732895502291288
19.0,,,,,0.2451111111111111,0.14555555555555555,0.2701128999559558
19.25,,,,,,,0.2669822604510902
19.5,,,,,,,0.2638967012939699
19.75,,,,,,,0.26085531979859555
20.0,,,,,,,0.25785723984908016
20.25,,,,,,,0.25490161079873663
20.5,,,,,,,0.2519876064284702
20.75,,,,,,,0.24911442396056993
21.0,,,,,0.22633333333333333,0.11422222222222222,0.24628128312429676
21.25,,,,,,,0.24348742526994116
21.5,,,,,,,0.24073211252827453
21.75,,,,,,,0.23801462701254628
22.0,,,,,,,0.2353342700603922
22.25,,,,,,,0.23269036151320666
22.5,,,,,,,0.23008223903071223
22.75,,,,,,,0.2275092574386195
23.0,,,,,,,0.22497078810741733
23.25,,,,,,,0.22246621836047298
23.5,,,,,,,0.21999495090974563
23.75,,,,,,,0.2175564033175309
24.0,,,,,,,0.21515000748276392
24.25,,,,,,,0.21277520915050396
24.5,,,,,,,0.21043146744331664
24.75,,,,,,,0.2081182544133514
25.0,,,,,,,0.20583505461399143
25.25,,,,,,,0.2035813646900252
25.5,,,,,,,0.20135669298535397
25.75,,,,,,,0.19916055916731212
26.0,,,,,,,0.19699249386673523
26.25,,,,,,,0.19485203833296338
26.5,,,,,,,0.19273874410301572
26.75,,,,,,,0.19065217268422052
27.0,,,,,,,0.1885918952496265
27.25,,,,,,,0.18655749234555974
27.5,,,,,,,0.18454855361073197
27.75,,,,,,,0.18256467750633443
28.0,,,,,,,0.1806054710565903
28.25,,,,,,,0.17867054959926443
28.5,,,,,,,0.1767595365456589
28.75,,,,,,,0.17487206314965043
29.0,,,,,,,0.17300776828534714
29.25,,,,,,,0.17116629823297003
29.5,,,,,,,0.16934730647258178
29.75,,,,,,,0.1675504534853074
30.0,,,,,0.15511111111111112,0.0,0.16577540656171275
30.25,,,,,,,0.1640218396170191
30.5,,,,,,,0.16228943301285603
30.75,,,,,,,0.1605778733852632
31.0,,,,,,,0.15888685347867293
