,kls=results&ty=por&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=por&q=0.48&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.48&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.48&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.48&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.48&ds=2.0&daa=100&scale=2.0,kls=results&ty=por&q=0.48&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.48&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.48&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.48&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.48&ds=3.0&daa=100&scale=3.0,kls=results&ty=trad&q=0.48&ds=1.0&daa=100&scale=1,kls=results&ty=trad&q=0.48&ds=3.0&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.48&ds=1.0&daa=0&scale=1
89.0,,,,,,,,,,,,,,0.5939428921786183
90.0,,,0.279,,,,,,,,0.43,,0.4827272727272727,0.5918713822040464
91.0,,,,,,,,,,,,,,0.5898146766207596
92.0,,,,,,,,,,,,,,0.5877725442656057
93.0,,,,,,,,,,,,,,0.5857447601099559
94.0,,,,,,,,,,,,,,0.5837311050310034
94.5,,,,,,,0.356,,,,,,,
95.0,,,,,,,,,,,,,,0.5817313655939584
96.0,,,,,,,,,,,,,,0.579745333844507
97.0,,,,,,,,,,,,,,0.5777728071109518
98.0,,,,,,,,,,,,,,0.5758135878154838
99.0,,,,,,,,,,,,,,0.5738674832940751
100.0,,,,,,,,,,,,,,0.5719343056245177
105.0,,,,0.265,,,,0.33644444444444443,,,,,,0.5624560546048447
110.0,,,,,,,,,,,,,,0.5532752450267192
114.0,,,,,0.271,,,,,,,,,
115.0,,,,,,,,,,,,,,0.5443728551095336
115.5,,,,,,,,,0.367,,,,,
120.0,,,,,,0.258,,,,,,,,0.5357318582910916
121.8,,,,,,,,,,0.35,,,,
126.0,,,,,,,,,,,0.29,,0.4,
135.0,,,,,,,0.277,,,,,,,
150.0,,,,,,,,0.27644444444444444,,,,,,
165.0,,,,,,,,,0.267,,,,,
174.0,,,,,,,,,,0.247,,,,
180.0,,,,,,,,,,,0.255,,0.3090909090909091,
