,kls=results&ty=por&q=0.48&ds=1.25&daa=20&scale=0.0625,kls=results&ty=por&q=0.48&ds=2.5&daa=20&scale=0.125,kls=results&ty=por&q=0.48&ds=5&daa=20&scale=0.25,kls=results&ty=por&q=0.48&ds=10&daa=20&scale=0.5,kls=results&ty=por&q=0.48&ds=20&daa=20&scale=1,kls=results&ty=trad&q=0.48&ds=20&daa=20&scale=1,kls=analytical&ty=trad&q=0.48&ds=20.0&daa=0&scale=1
3.45,,,,,,,0.6389045148141483
3.5,,,,0.538,,,0.6364762880452999
3.55,,,,,,,0.6340692631650391
3.6,,,,,,,0.6316830132826179
3.65,,,,,,,0.6293171260658601
3.7,,,,,,,0.6269712030480821
3.75,0.2992,0.4164,0.5016,,,,0.6246448589770037
3.8,,,,,,,0.6223377212025762
3.85,,,,,,,0.6200494291009168
3.9,,,,,,,0.6177796335317777
3.95,,,,,,,0.6155279963271917
4.0,,,,,0.5306,0.49869565217391304,0.6132941898091271
4.05,,,,,,,0.6110778963341641
4.1,,,,,,,0.6088788078633622
4.15,,,,,,,0.6066966255556336
4.2,,,,,,,0.6045310593830674
4.25,,,0.4596,,,,0.6023818277667743
4.3,,,,,,,0.6002486572319242
4.35,,,,,,,0.5981312820807556
4.4,,,,,,,0.5960294440824203
4.45,,,,,,,0.5939428921786183
4.5,,,,0.463,,,0.5918713822040464
4.55,,,,,,,0.5898146766207596
4.6,,,,,,,0.5877725442656057
4.65,,,,,,,0.5857447601099559
4.7,,,,,,,0.5837311050310034
4.75,,,0.4568,,,,0.5817313655939584
4.8,,,,,,,0.579745333844507
4.85,,,,,,,0.5777728071109518
4.9,,,,,,,0.5758135878154838
4.95,,,,,,,0.5738674832940751
5.0,,,,,0.4792,0.4563768115942029,0.5719343056245177
5.25,,0.3456,0.426,,,,0.5624560546048447
5.5,,,,0.441,,,0.5532752450267192
5.75,,,,,,,0.5443728551095336
6.0,,,,,0.4314,0.4146376811594203,0.5357318582910916
6.25,,,,,,,0.5273369376182384
6.5,,,,0.4146,,,0.5191742509012167
6.75,,,,,,,0.511231235999835
7.0,,,,,0.408,0.37231884057971015,0.5034964481475686
7.25,,,,,,,0.4959594230829354
7.5,,0.2804,0.368,0.4036,,,0.48861056114237367
7.75,,,,,,,0.4814410285100317
8.0,,,,,,,0.4744426726110008
8.25,,,,,,,0.46760794924155036
8.5,,,,0.3608,,,0.46092985949999243
8.75,,,,,,,0.45440189494892
9.0,,,,,0.3622,0.30927536231884056,0.44801798972857476
9.25,,,,,,,0.44177247857033175
9.5,,,,0.331,,,0.43566005984238443
9.75,,,,,,,0.42967576290692977
10.0,,,,,,,0.423814919187263
10.5,,,0.3026,0.32,,,
11.0,,,,,0.3222,0.2614492753623188,0.40152191133327075
12.0,,,,,,,0.3808938681377888
13.0,,,,,0.2754,0.22434782608695653,0.36173346325055966
14.0,,,,,,,0.3438787730027436
15.0,,,0.2256,0.262,0.2614,0.18797101449275364,0.327194784030432
16.0,,,,,,,0.31156738253161964
17.0,,,,,0.2288,0.16521739130434782,0.29689898836914574
18.0,,,,,,,0.28310531228444236
19.0,,,,,0.2076,0.1344927536231884,0.2701128999559558
20.0,,,,,,,0.25785723984908016
21.0,,,,,0.1986,0.11840579710144927,0.24628128312429676
22.0,,,,,,,0.2353342700603922
23.0,,,,,,0.10869565217391304,0.22497078810741733
24.0,,,,,,,0.21515000748276392
25.0,,,,,,0.09028985507246377,0.20583505461399143
26.0,,,,,,,0.19699249386673523
27.0,,,,,,0.08130434782608696,0.1885918952496265
28.0,,,,,,,0.1806054710565903
29.0,,,,,,0.06942028985507247,0.17300776828534714
30.0,,,,,0.1342,,0.16577540656171275
31.0,,,,,,,0.15888685347867293
