,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.44&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=10&daa=0&scale=1
8.4,,,,,0.008924948740544503,0.11906673038926896
8.5,,,,,0.00852642635266343,0.11688561438812217
8.6,,,,,0.008146095339664372,0.1147485517981609
8.7,,,,,0.007783100344932348,0.11265450877512684
8.8,,,,,0.007436627880994973,0.11060248140152962
8.9,,,,,0.007105904165418453,0.1085914945754044
9.0,0.013222222222222222,0.09588888888888888,0.0005555555555555556,0.03922222222222222,0.0067901930769309615,0.10662060095179915
9.1,,,,,0.006488794224454919,0.10468887993390386
9.2,,,,,0.006201041122222861,0.10279543671094793
9.3,,,,,0.005926299464613538,0.10093940134018797
9.4,,,,,0.005663965494767109,0.09911992787049517
9.5,,,,,0.005413464461432871,0.09733619350521128
9.6,,,,,0.005174249158863664,0.09558739780210546
9.7,,,,,0.004945798544910063,0.09387276190840033
9.8,,,,,0.0047276164327795245,0.09219152782897089
9.9,,,,,0.004519230252214013,0.09054295772594179
10.0,,,,,0.00432018987611027,0.08892633324802035
10.1,,,,,0.004130066508855945,0.08734095488800808
10.2,,,,,0.003948451632888705,0.08578614136703167
10.3,,,,,0.003774956010199948,0.08426122904412148
10.4,,,,,0.003609208735708913,0.08276557134985263
10.5,,,,,0.00345085633961828,0.08129853824284028
10.6,,,,,0.003299561936039086,0.07985951568795113
10.7,,,,,0.0031550044153363377,0.07844790515516431
10.8,,,,,0.003016877677797458,0.0770631231380734
10.9,,,,,0.0028848899063714795,0.07570460069108431
11.0,0.009555555555555555,0.0651111111111111,0.00044444444444444447,0.023777777777777776,0.0027587628763555694,0.07437178298441338
11.1,,,,,0.0026382313000349322,0.07306412887604441
11.2,,,,,0.0025230422043944767,0.07178111049985036
11.3,,,,,0.002412954340132334,0.07052221286912874
11.4,,,,,0.0023077376203065603,0.06928693349484194
11.5,,,,,0.002207172587041506,0.06807478201789274
11.6,,,,,0.0021110499048111464,0.06688527985480142
11.7,,,,,0.00201916987889994,0.065717959856186
11.8,,,,,0.0019313419977212698,0.0645723659774764
11.9,,,,,0.0018473844977470177,0.06344805296132727
12.0,,,,,0.00176712394987244,0.06234458603121862
12.1,,,,,0.0016903948661043389,0.061261540595763386
12.2,,,,,0.0016170393255234838,0.06019850196326115
12.3,,,,,0.0015469066185287428,0.059155065066067714
12.4,,,,,0.001479852908426449,0.058130834194364156
12.5,,,,,0.001415740909477048,0.057125422738935505
12.6,,,,,0.0013544395805615839,0.0561384529425869
12.7,,,,,0.0012958238336748806,0.055169555659842606
