,kls=results&ty=por&q=0.44&ds=1&daa=100&scale=1,kls=results&ty=por&q=0.44&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.44&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.44&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.44&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.44&ds=2&daa=100&scale=2.0,kls=results&ty=por&q=0.44&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.44&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.44&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.44&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.44&ds=3&daa=100&scale=3.0,kls=results&ty=trad&q=0.44&ds=1&daa=100&scale=1,kls=results&ty=trad&q=0.44&ds=3&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.44&ds=1&daa=0&scale=1
16.0,,,,,,,,,,,,,,0.4990463258787199
16.25,,0.2633333333333333,,,,,,,,,,,,
16.5,,,0.286,,,,,,0.415,,,,,
17.0,0.24,,,,,,,,,,,0.46454545454545454,,0.4857305933963555
17.099999999999998,,,,,0.361,,,,,,,,,
17.4,,,,,,,,,,0.394,,,,
17.5,,,,,,,,0.377,,,,,,
18.0,,,,,,0.307,,,,,0.422,,0.4118181818181818,0.47299260704804946
18.75,,0.22555555555555556,,,,,,,,,,,,
19.0,0.174,,,,,,,,,,,0.43636363636363634,,0.4607867854627393
19.25,,,,0.294,,,,,0.369,,,,,
19.5,,,0.272,,,,,,,,,,,
20.0,,,,,,,,,,,,,,0.44907330817548086
20.25,,,,,,,0.345,,,,,,,
20.3,,,,,,,,,,0.362,,,,
20.9,,,,,0.29,,,,,,,,,
21.0,0.152,,,,,,,,,,0.361,0.39090909090909093,0.3809090909090909,0.43781712504151704
21.25,,0.19644444444444445,,,,,,,,,,,,
22.0,,,,,,0.285,,,,,,,,0.4269871760422259
22.5,,,0.224,,,,,0.31477777777777777,,,,,,
22.75,,,,0.264,,,,,,,,,,
23.0,,,,,,,,,,,,,,0.4165557691661086
23.75,,0.176,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,0.40649807877981403
24.7,,,,,0.256,,,,,,,,,
24.75,,,,,,,0.293,,0.302,,,,,
25.0,,,,,,,,,,,,,,0.39679173704434734
25.5,,,0.203,,,,,,,,,,,
26.0,,,,,,0.24,,,,,,,,0.3874164980381609
26.099999999999998,,,,,,,,,,0.3,,,,
26.25,,0.159,,0.227,,,,,,,,,,
27.0,,,,,,,,,,,0.285,,0.33454545454545453,0.37835395931144233
27.5,,,,,,,,0.263,,,,,,
28.0,,,,,,,,,,,,,,0.3695873292566303
28.5,,,0.174,,0.211,,,,,,,,,
29.0,,,,,,,,,,,,,,0.3611012313635722
29.25,,,,,,,0.236,,,,,,,
29.75,,,,0.186,,,,,,,,,,
30.0,0.097,,,,,0.23,,,,,,0.2990909090909091,,0.35288153841954306
30.25,,,,,,,,,0.254,,,,,
31.0,,,,,,,,,,,,,,0.3449152312100019
31.5,,,0.147,,,,,,,,,,,
31.9,,,,,,,,,,0.269,,,,
32.0,,,,,,,,,,,,,,0.3371902774111446
32.3,,,,,0.187,,,,,,,,,
32.5,,,,,,,,0.2212222222222222,,,,,,
33.0,,,,,,,,,,,0.222,,0.26545454545454544,0.3296955272354932
33.25,,,,0.167,,,,,,,,,,
33.75,,,,,,,0.215,,,,,,,
34.0,,,,,,0.178,,,,,,,,0.3224206230649943
35.0,,,,,,,,,,,,,,0.3153559208314689
35.75,,,,,,,,,0.239,,,,,
36.0,,,,,,,,,,,,,,0.3084924213175543
36.1,,,,,0.16,,,,,,,,,
36.75,,,,0.147,,,,,,,,,,
37.0,,,,,,,,,,,,,,0.3018217098788749
37.5,,0.09944444444444445,,,,,,0.19655555555555557,,,,,,
37.699999999999996,,,,,,,,,,0.225,,,,
38.0,,,,,,0.164,,,,,,,,0.29533590334969584
38.25,,,,,,,0.177,,,,,,,
39.0,,,,,,,,,,,0.222,,0.19272727272727272,0.2890276031044733
39.9,,,,,0.122,,,,,,,,,
40.0,,,,,,,,,,,,,,0.28288985341767536
41.0,,,,,,,,,,,,,,0.2769161044025087
41.25,,,,,,,,,0.195,,,,,
42.0,0.057,,,,,0.146,,,,,,0.22181818181818183,,0.27110017892229876
42.5,,,,,,,,0.16444444444444445,,,,,,
42.75,,,,,,,0.164,,,,,,,
43.0,,,,,,,,,,,,,,0.2654362429613051
43.5,,,,,,,,,,0.187,,,,
44.0,,,,,,,,,,,,,,0.25991877901865146
45.0,,,0.093,,,,,,,,0.186,,0.18454545454545454,0.2545425621529298
46.0,,,,,,,,,,,,,,0.24930263835832844
46.75,,,,,,,,,0.188,,,,,
47.0,,,,,,,,,,,,,,0.2441943049978037
47.25,,,,,,,0.148,,,,,,,
47.5,,,,,,,,0.1461111111111111,,,,,,
48.0,,,,,,,,,,,,,,0.23921309305639538
49.0,,,,,,,,,,,,,,0.23435475100954173
49.3,,,,,,,,,,0.153,,,,
50.0,,,,,,,,,,,,,,0.22961523012817686
51.0,,,,,,,,,,,0.163,,0.15,0.22499067106531045
52.0,,,,,,,,,,,,,,0.22047739158836455
52.25,,,,,,,,,0.149,,,,,
52.5,,0.06011111111111111,,0.093,,,,0.13344444444444445,,,,,,
53.0,,,,,,,,,,,,,,0.2160718753383143
54.0,,,,,,,,,,,,,,0.21177076151109553
55.0,,,,,,,,,,,,,,0.20757083536917487
55.1,,,,,,,,,,0.135,,,,
56.0,,,,,,,,,,,,,,0.20346901950192942
57.0,,,,,0.085,,,,,,0.151,,0.13272727272727272,0.19946236576280407
57.75,,,,,,,,,0.104,,,,,
58.0,,,,,,,,,,,,,,0.1955480478193229
59.0,,,,,,,,,,,,,,0.19172335425909925
60.0,0.037,,,,,0.092,,,,,,0.10181818181818182,,0.18798568220116796
60.9,,,,,,,,,,0.16,,,,
61.0,,,,,,,,,,,,,,0.18433253136737338
62.0,,,,,,,,,,,,,,0.18076149857330504
63.0,,,0.06,,,,,,,,0.117,,0.10818181818181818,0.17727027260245376
64.0,,,,,,,,,,,,,,0.1738566294309547
65.0,,,,,,,,,,,,,,0.17051842777354576
66.0,,,,,,,,,,,,,,0.16725360492426156
67.0,,,,,,,,,,,,,,0.16406017286794838
67.5,,,,,,,0.092,,,,,,,
68.0,,,,,,,,,,,,,,0.16093621464096775
69.0,,,,,,,,,,,,,,0.15787988092148886
70.0,,,,,,,,,,,,,,0.15488938683158437
71.0,,,,,,,,,,,,,,0.1519630089349674
72.0,,,,,,,,,,,,,,0.1490990824156596
73.0,,,,,,,,,,,,,,0.14629599842418428
73.5,,,,0.071,,,,,,,,,,
74.0,,,,,,,,,,,,,,0.14355220157904924
75.0,,0.035666666666666666,,,,,,0.08255555555555555,,,,,,0.14086618761233927
76.0,,,,,,,,,,,,,,0.13823650114918706
77.0,,,,,,,,,,,,,,0.1356617336117497
78.0,,,,,,,,,,,,,,0.13314052123909093
79.0,,,,,,,,,,,,,,0.130671543215076
79.8,,,,,0.063,,,,,,,,,
80.0,,,,,,,,,,,,,,0.12825351989701494
81.0,,,,,,,,,,,,,,0.12588521113837325
82.0,,,,,,,,,,,,,,0.12356541469938997
82.5,,,,,,,,,0.076,,,,,
83.0,,,,,,,,,,,,,,0.12129296473992235
84.0,,,,,,0.066,,,,,,,,0.11906673038926896
85.0,,,,,,,,,,,,,,0.11688561438812217
86.0,,,,,,,,,,,,,,0.1147485517981609
87.0,,,,,,,,,,0.083,,,,0.11265450877512684
88.0,,,,,,,,,,,,,,0.11060248140152962
89.0,,,,,,,,,,,,,,0.1085914945754044
90.0,,,0.03,,,,,,,,0.069,,0.034545454545454546,0.10662060095179915
91.0,,,,,,,,,,,,,,0.10468887993390386
92.0,,,,,,,,,,,,,,0.10279543671094793
93.0,,,,,,,,,,,,,,0.10093940134018797
94.0,,,,,,,,,,,,,,0.09911992787049517
94.5,,,,,,,0.061,,,,,,,
95.0,,,,,,,,,,,,,,0.09733619350521128
96.0,,,,,,,,,,,,,,0.09558739780210546
97.0,,,,,,,,,,,,,,0.09387276190840033
98.0,,,,,,,,,,,,,,0.09219152782897089
99.0,,,,,,,,,,,,,,0.09054295772594179
100.0,,,,,,,,,,,,,,0.08892633324802035
101.0,,,,,,,,,,,,,,0.08734095488800808
102.0,,,,,,,,,,,,,,0.08578614136703167
103.0,,,,,,,,,,,,,,0.08426122904412148
104.0,,,,,,,,,,,,,,0.08276557134985263
105.0,,,,0.04,,,,0.04833333333333333,,,,,,0.08129853824284028
106.0,,,,,,,,,,,,,,0.07985951568795113
107.0,,,,,,,,,,,,,,0.07844790515516431
108.0,,,,,,,,,,,,,,0.0770631231380734
109.0,,,,,,,,,,,,,,0.07570460069108431
110.0,,,,,,,,,,,,,,0.07437178298441338
111.0,,,,,,,,,,,,,,0.07306412887604441
112.0,,,,,,,,,,,,,,0.07178111049985036
113.0,,,,,,,,,,,,,,0.07052221286912874
114.0,,,,,0.032,,,,,,,,,0.06928693349484194
115.0,,,,,,,,,,,,,,0.06807478201789274
115.5,,,,,,,,,0.047,,,,,
116.0,,,,,,,,,,,,,,0.06688527985480142
117.0,,,,,,,,,,,,,,0.065717959856186
118.0,,,,,,,,,,,,,,0.0645723659774764
119.0,,,,,,,,,,,,,,0.06344805296132727
120.0,,,,,,0.036,,,,,,,,0.06234458603121862
121.0,,,,,,,,,,,,,,0.061261540595763386
121.8,,,,,,,,,,0.029,,,,
122.0,,,,,,,,,,,,,,0.06019850196326115
126.0,,,,,,,,,,,0.047,,0.015454545454545455,
135.0,,,,,,,0.027,,,,,,,
150.0,,,,,,,,0.025777777777777778,,,,,,
165.0,,,,,,,,,0.022,,,,,
174.0,,,,,,,,,,0.023,,,,
180.0,,,,,,,,,,,0.026,,0.0009090909090909091,
