,kls=results&ty=por&q=0.3333333&ds=1.0&daa=500&scale=0.25,kls=results&ty=por&q=0.3333333&ds=1.41&daa=500&scale=0.3525,kls=results&ty=por&q=0.3333333&ds=2.0&daa=500&scale=0.5,kls=results&ty=por&q=0.3333333&ds=3.0&daa=500&scale=0.75,kls=results&ty=por&q=0.3333333&ds=4.0&daa=500&scale=1.0,kls=results&ty=por&q=0.3333333&ds=5.0&daa=500&scale=1.25,kls=results&ty=por&q=0.3333333&ds=6.0&daa=500&scale=1.5,kls=results&ty=por&q=0.3333333&ds=7.0&daa=500&scale=1.75,kls=results&ty=por&q=0.3333333&ds=9.0&daa=500&scale=2.25,kls=results&ty=por&q=0.3333333&ds=15.0&daa=500&scale=3.75,kls=results&ty=por&q=0.3333333&ds=20.0&daa=500&scale=5.0,kls=results&ty=por&q=0.3333333&ds=30.0&daa=500&scale=7.5,kls=results&ty=por&q=0.3333333&ds=45.0&daa=500&scale=11.25,kls=results&ty=por&q=0.3333333&ds=60.0&daa=500&scale=15.0,kls=analytical&ty=trad&q=0.3333333&ds=4.0&daa=0&scale=1
9.5,,,,,,,,,,,,,,,0.002862039432140806
9.75,,,,,,,,,,,,,,,0.0025159511778354293
10.0,,,,,,0.017,,,,,0.0,,,,0.00221226121488316
10.25,,,,,,,,,,,,,,,0.0019456889273979927
10.5,,,,,,,0.01,0.003,,,,,,,0.0017116254671629694
10.75,,,,,,,,,,,,,,,0.0015060459303573026
11.0,,,,,0.007,,,,,,,,,,0.0013254334264319878
11.25,,,,,,,,,0.004,0.0,,,0.001,,0.001166713355160942
11.28,,0.003,,,,,,,,,,,,,
11.5,,,0.005,,,,,,,,,,,,0.0010271964599825045
11.75,,,,,,,,,,,,,,,0.0009045294375047419
12.0,,,,0.006,,,0.002,,,,,,,,0.0007966520614289818
12.25,,,,,,,,0.002,,,,,,,0.0007017599298104749
12.5,,,,,,,,,,,,,,,0.0006182720721528145
12.75,,,,,,,,,,,,,,,0.0005448027610874817
13.0,,,,,,,,,,,,,,,0.00048013696547466456
13.25,,,,,,,,,,,,,,,0.00042320896021741383
13.5,,,,,,,,,0.003,,,,,,0.00037308367507582485
13.75,,,,,,0.009,,,,,,,,,0.00032894042205544594
14.0,,,,,,,,0.002,,,,,,,0.00029005869002596274
14.25,,,,,,,,,,,,,,,0.00025580573733174905
14.5,,,,,,,,,,,,,,,0.000225625749332381
14.75,,,,,,,,,,,,,,,0.0001990303589385345
15.0,,,,,,,,,,0.001,0.0,0.0,,0.0,0.00017559035501768516
15.25,,,,,,,,,,,,,,,0.00015492842666864348
15.5,,,,,,,,,,,,,,,0.00013671281132998647
15.75,,,,,,,,,0.0,,,,,,0.00012065173194208967
16.0,,,0.006,,0.008,,,,,,,,,,0.0001064885233134083
16.25,,,,,,,,,,,,,,,9.399736077231324e-05
16.5,,,,,,,0.0,,,,,,,,8.297951538960291e-05
16.75,,,,,,,,,,,,,,,7.326006978036759e-05
17.0,,,,,,,,,,,,,,,6.468503693535244e-05
17.25,,,,0.003,,,,,,,,,,,5.711883186210187e-05
17.5,,,,,,,,,,,,,,,5.0442052195842635e-05
17.75,,,,,,,,,,,,,,,4.454952948329538e-05
18.0,,,,,,,,,0.001,,,,,,3.934861767784792e-05
18.25,,,,,,,,,,,,,,,3.475768958527414e-05
18.5,,,,,,,,,,,,,,,3.070481567279959e-05
18.75,,,,,,,,,,0.001,,,,,2.712660284776014e-05
19.0,,,,,,,,,,,,,,,2.3967173607752912e-05
19.25,,,,,,,,0.001,,,,,,,2.117726839490075e-05
19.5,,,,,,,,,,,,,,,1.8713456122365635e-05
19.75,,,,,,,,,,,,,,,1.65374396940976e-05
20.0,,,,,,0.002,,,,,0.0,,,,1.4615444970278446e-05
20.25,,,,,,,,,,,,,,,1.2917683049229467e-05
20.5,,,,,,,,,,,,,,,1.141787698266672e-05
20.75,,,,,,,,,,,,,,,1.0092845130982298e-05
21.0,,,,,,,,,,,,,,,8.922134316580177e-06
21.25,,,,,,,,,,,,,,,7.887696770403352e-06
21.5,,,,,,,,,,,,,,,6.9736055988700585e-06
21.75,,,,,,,,,,,,,,,6.165804138813513e-06
22.0,,,,,,,,,,,,,,,5.451885131901868e-06
22.25,,,,,,,,,,,,,,,4.820896142176956e-06
22.5,,,,,,,,,,0.0,,0.0,0.0,,4.263168074225554e-06
22.75,,,,,,,,,,,,,,,3.770164029082146e-06
23.0,,,,,0.003,,,,,,,,,,3.3343460670298697e-06
23.25,,,,,,,,,,,,,,,2.949057743006911e-06
23.5,,,,,,,,,,,,,,,2.6084205321241782e-06
23.75,,,,,,,,,,,,,,,2.3072424931713797e-06
24.0,,,,0.003,,,0.0,,,,,,,,2.040937714054003e-06
24.25,,,,,,,,,,,,,,,1.8054552591850737e-06
24.5,,,,,,,,,,,,,,,1.597216489290787e-06
24.75,,,,,,,,,0.0,,,,,,1.4130597633110753e-06
25.0,,,,,,,,,,,0.0,,,,1.250191645651988e-06
26.25,,,,,,,,,,0.0,,,,,6.781633568042622e-07
27.5,,,,,,,,,,,,,,,3.682346375599721e-07
28.0,,,,,,,,0.0,,,,,,,
28.75,,,,,,0.001,,,,,,,,,2.0012948143133258e-07
30.0,,,,,,,,,,0.0,0.0,0.0,,0.0,1.088583099217999e-07
31.25,,,,,,,,,,,,,,,5.925812518459139e-08
32.0,,,,,0.003,,,,,,,,,,
32.5,,,,,,,,,,,,,,,3.228084766160322e-08
33.75,,,,,,,,,,,,,0.0,,1.759666157230555e-08
34.5,,,,,,,0.0,,,,,,,,
35.0,,,,,,,,,,,0.0,,,,9.598070227490041e-09
36.0,,,,,,,,,0.0,,,,,,
36.25,,,,,,,,,,,,,,,5.2382695958641534e-09
37.5,,,,,,,,,,,,0.0,,,2.8603935886550858e-09
38.75,,,,,,,,,,,,,,,1.5627268368234581e-09
40.0,,,,,,0.002,,,,,0.0,,,,8.541738427680912e-10
40.25,,,,,,,,0.0,,,,,,,
41.25,,,,,,,,,,0.0,,,,,4.670929198979934e-10
42.5,,,,,,,,,,,,,,,2.5553059668226297e-10
43.75,,,,,,,,,,,,,,,1.398475779623709e-10
45.0,,,,,,,,,,,,0.0,0.0,0.0,7.656497658103945e-11
46.25,,,,,,,,,,,,,,,4.193334568469709e-11
47.5,,,,,,,,,,,,,,,2.2973956070870827e-11
48.0,,,,,,,0.002,,,,,,,,
48.75,,,,,,,,,,,,,,,1.2590706255366513e-11
50.0,,,,,,,,,,,,,,,6.902367566397061e-12
51.0,,,,,,,,,,,,,,,4.268252418171414e-12
51.75,,,,,,,,,0.001,,,,,,
52.0,,,,,,,,,,,,,,,2.6397772856512347e-12
52.5,,,,,,,,,,,,0.0,,,
53.0,,,,,,,,,,,,,,,1.6329160246186802e-12
54.0,,,,,,,,,,,,,,,1.0103029524088925e-12
55.0,,,,,,,,,,,0.0,,,,6.251665851664256e-13
56.0,,,,,,,,0.002,,,,,,,3.8691272408186705e-13
56.25,,,,,,,,,,,,,0.0,,
57.0,,,,,,,,,,,,,,,2.3947510641164627e-13
58.0,,,,,,,,,,,,,,,1.482147737874584e-13
59.0,,,,,,,,,,,,,,,9.181544413650045e-14
60.0,,,,,,,,,,0.0,,0.0,,0.0,5.684341886080802e-14
61.0,,,,,,,,,,,,,,,3.519406988061746e-14
62.0,,,,,,,,,,,,,,,2.1760371282653068e-14
63.0,,,,,,,,,,,,,,,1.354472090042691e-14
64.0,,,,,,,,,,,,,,,8.326672684688674e-15
65.0,,,,,,,,,,,,,,,5.218048215738236e-15
67.5,,,,,,,,,,,,,0.0,,
72.0,,,,,,,,,0.0,,,,,,
75.0,,,,,,,,,,,,,,0.0,
78.75,,,,,,,,,,,,,0.0,,
80.0,,,,,,,,,,,0.0,,,,
82.5,,,,,,,,,,,,0.0,,,
86.25,,,,,,,,,,0.0,,,,,
90.0,,,,,,,,,,,,,0.0,0.0,
105.0,,,,,,,,,,,,,,0.0,
115.0,,,,,,,,,,,0.0,,,,
120.0,,,,,,,,,,0.0,,0.0,,0.0,
123.75,,,,,,,,,,,,,0.0,,
165.0,,,,,,,,,,,,,,0.0,
172.5,,,,,,,,,,,,0.0,,,
180.0,,,,,,,,,,,,,0.0,,
240.0,,,,,,,,,,,,,,0.0,
258.75,,,,,,,,,,,,,0.0,,
345.0,,,,,,,,,,,,,,0.0,
