,kls=results&ty=por&q=0.44&ds=5.0&daa=100&scale=0.5,kls=results&ty=por&q=0.44&ds=10.0&daa=100&scale=1,kls=results&ty=por&q=0.44&ds=20.0&daa=100&scale=2,kls=results&ty=trad&q=0.44&ds=10.0&daa=100&scale=1,kls=analytical&ty=trad&q=0.44&ds=10.0&daa=0&scale=1
17.0,,0.03211111111111111,,0.005,0.026480684314962644
17.5,,,,,0.024351786127041253
18.0,,,0.024,,0.02239995054862931
18.5,,,,,0.020609738263121513
19.0,,0.02711111111111111,,0.002111111111111111,0.01896714728319182
19.5,,,,,0.017459466828726566
20.0,,,,,0.016075147813363833
21.0,,0.019222222222222224,,0.0008888888888888889,0.013635528530569374
22.0,,,0.015333333333333332,,0.011575062008946424
22.5,0.019666666666666666,,,,
23.0,,,,,0.009832928879481062
24.0,,,,,0.00835848514296833
25.0,,,,,0.007109462998230898
26.0,,,0.008222222222222223,,0.0060505129977967975
27.0,,,,,0.005152017023940081
28.0,,,,,0.0043891176086762185
29.0,,,,,0.0037409211245257312
30.0,0.012888888888888889,0.01,0.0054444444444444445,0.00022222222222222223,0.003189841462822196
31.0,,,,,0.0027210577707424966
34.0,,,0.004555555555555556,,
38.0,,,0.0032222222222222222,,
42.0,,,0.0024444444444444444,,
60.0,,,0.001,,
