k, N1, "N1 w/o PoRs", T1
2070000.0,95667.0,184821.42857142858,109215532740.6
2080000.0,96086.0,185714.2857142857,110174295869.06667
2090000.0,96505.0,186607.14285714287,111137248941.66666
2100000.0,96924.0,187500.0,112104391958.39996
2110000.0,97343.0,188392.85714285713,113075724919.26668
2120000.0,97762.0,189285.7142857143,114051247824.26668
2130000.0,98181.0,190178.57142857142,115030960673.4
2140000.0,98600.0,191071.42857142858,116014863466.66666
2150000.0,99019.0,191964.2857142857,117002956204.06667
2160000.0,99438.0,192857.14285714287,117995238885.59998
2170000.0,99857.0,193750.0,118991711511.26666
2180000.0,100276.0,194642.85714285713,119992374081.06667
2190000.0,100695.0,195535.7142857143,120997226595.0
2200000.0,101114.0,196428.57142857142,122006269053.06667
2210000.0,101533.0,197321.42857142858,123019501455.26666
2220000.0,101952.0,198214.2857142857,124036923801.6
2230000.0,102371.0,199107.14285714287,125058536092.06667
2240000.0,102790.0,200000.0,126084338326.66666
2250000.0,103209.0,200892.85714285713,127114330505.40001
2260000.0,103628.0,201785.7142857143,128148512628.26671
2270000.0,104047.0,202678.57142857142,129186884695.26668
2280000.0,104466.0,203571.42857142858,130229446706.40001
2290000.0,104885.0,204464.2857142857,131276198661.66669
2300000.0,105304.0,205357.14285714287,132327140561.06667
2310000.0,105723.0,206250.0,133382272404.59998
2320000.0,106142.0,207142.85714285713,134441594192.26666
2330000.0,106561.0,208035.7142857143,135505105924.06667
2340000.0,106980.0,208928.57142857142,136572807600.0
2350000.0,107399.0,209821.42857142858,137644699220.06668
2360000.0,107818.0,210714.2857142857,138720780784.26663
2370000.0,108237.0,211607.14285714287,139801052292.6
2380000.0,108656.0,212500.0,140885513745.06665
2390000.0,109075.0,213392.85714285713,141974165141.6667
2400000.0,109494.0,214285.7142857143,143067006482.40002
2410000.0,109913.0,215178.57142857142,144164037767.2667
2420000.0,110332.0,216071.42857142858,145265258996.2667
2430000.0,110751.0,216964.2857142857,146370670169.4
2440000.0,111170.0,217857.14285714287,147480271286.66666
2450000.0,111589.0,218750.0,148594062348.06665
2460000.0,112008.0,219642.85714285713,149712043353.6
2470000.0,112427.0,220535.7142857143,150834214303.26666
2480000.0,112846.0,221428.57142857142,151960575197.06665
2490000.0,113265.0,222321.42857142858,153091126035.0
