k, N1, "N1 w/o PoRs", T1
3870000.0,131071.0,439772.7272727273,394358342088.3334
3880000.0,131071.0,440909.0909090909,395669052088.3334
3890000.0,131071.0,442045.45454545453,396979762088.3334
3900000.0,131071.0,443181.8181818182,398290472088.3334
3910000.0,131071.0,444318.1818181818,399601182088.3334
3920000.0,131071.0,445454.54545454547,400911892088.3334
3930000.0,131071.0,446590.9090909091,402222602088.3334
3940000.0,131071.0,447727.2727272727,403533312088.3334
3950000.0,131071.0,448863.63636363635,404844022088.3334
3960000.0,131071.0,450000.0,406154732088.3334
3970000.0,131071.0,451136.36363636365,407465442088.3334
3980000.0,131071.0,452272.7272727273,408776152088.3334
3990000.0,131071.0,453409.0909090909,410086862088.3334
4000000.0,131071.0,454545.45454545453,411397572088.3334
4010000.0,131071.0,455681.8181818182,412708282088.3334
4020000.0,131071.0,456818.1818181818,414018992088.3334
4030000.0,131071.0,457954.54545454547,415329702088.3334
4040000.0,131071.0,459090.9090909091,416640412088.3334
4050000.0,131071.0,460227.2727272727,417951122088.3334
4060000.0,131071.0,461363.63636363635,419261832088.3334
4070000.0,131071.0,462500.0,420572542088.3334
4080000.0,131071.0,463636.36363636365,421883252088.3334
4090000.0,131071.0,464772.7272727273,423193962088.3334
4100000.0,131071.0,465909.0909090909,424504672088.3334
4110000.0,131071.0,467045.45454545453,425815382088.3334
4120000.0,131071.0,468181.8181818182,427126092088.3334
4130000.0,131071.0,469318.1818181818,428436802088.3334
4140000.0,131071.0,470454.54545454547,429747512088.3334
4150000.0,131071.0,471590.9090909091,431058222088.3334
4160000.0,131071.0,472727.2727272727,432368932088.3334
4170000.0,131071.0,473863.63636363635,433679642088.3334
4180000.0,131071.0,475000.0,434990352088.3334
4190000.0,131071.0,476136.36363636365,436301062088.3334
4200000.0,131071.0,477272.7272727273,437611772088.3334
4210000.0,131071.0,478409.0909090909,438922482088.3334
4220000.0,131071.0,479545.45454545453,440233192088.3334
4230000.0,131071.0,480681.8181818182,441543902088.3334
4240000.0,131071.0,481818.1818181818,442854612088.3334
4250000.0,131071.0,482954.54545454547,444165322088.3334
4260000.0,131071.0,484090.9090909091,445476032088.3334
4270000.0,131071.0,485227.2727272727,446786742088.3334
4280000.0,131071.0,486363.63636363635,448097452088.3334
4290000.0,131071.0,487500.0,449408162088.3334
4300000.0,131071.0,488636.36363636365,450718872088.3334
4310000.0,131071.0,489772.7272727273,452029582088.3334
4320000.0,131071.0,490909.0909090909,453340292088.3334
4330000.0,131071.0,492045.45454545453,454651002088.3334
4340000.0,131071.0,493181.8181818182,455961712088.3334
4350000.0,131071.0,494318.1818181818,457272422088.3334
4360000.0,131071.0,495454.54545454547,458583132088.3334
4370000.0,131071.0,496590.9090909091,459893842088.3334
4380000.0,131071.0,497727.2727272727,461204552088.3334
4390000.0,131071.0,498863.63636363635,462515262088.3334
4400000.0,131071.0,500000.0,463825972088.3334
4410000.0,131071.0,501136.36363636365,465136682088.3334
4420000.0,131071.0,502272.7272727273,466447392088.3334
4430000.0,131071.0,503409.0909090909,467758102088.3334
4440000.0,131071.0,504545.45454545453,469068812088.3334
4450000.0,131071.0,505681.8181818182,470379522088.3334
4460000.0,131071.0,506818.1818181818,471690232088.3334
4470000.0,131071.0,507954.54545454547,473000942088.3334
4480000.0,131071.0,509090.9090909091,474311652088.3334
4490000.0,131071.0,510227.2727272727,475622362088.3334
4500000.0,131071.0,511363.63636363635,476933072088.3334
4510000.0,131071.0,512500.0,478243782088.3334
