$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
5500,3248591.2380952383,4585383.333333334,4545075.595238095,6596522.999999998,5305325.255102041,8593749.999999998,13926478.794642856,35449218.74999999
5600,3410726.666666667,4817366.399999999,4775017.333333333,6930247.418181819,5600000.000000001,9071074.380165288,14700000,37418181.81818181
5700,3580401.5285714287,5057019.618181818,5012565.071428572,7275013.636363635,5905389.030612245,9565754.132231405,15501646.205357144,39458735.79545455
5800,3755598.6,5304472.254545454,5257842.23809524,7630998.836363637,6221683.673469389,10078099.173553718,16331919.642857146,41572159.090909086
5900,3936406.1095238104,5559861.066666667,5510976.476190477,7998397.218181818,6549075.255102041,10608419.421487601,17191322.54464286,43759730.11363636
6000,4122920.571428572,5823281.454545454,5772100.000000001,8377363.636363636,6887755.102040817,11157024.793388428,18080357.14285714,46022727.27272727
6100,4315226.561904762,6094905.206060607,6041323.80952381,8768108.945454545,7237914.540816328,11724225.206611568,18999525.669642862,48362428.97727273
6200,4513408.095238095,6374807.684848484,6318771.333333335,9170784.109090907,7599744.897959184,12310330.578512397,19949330.35714286,50780113.63636363
6300,4717553.4,6663149.5636363635,6604566.000000001,9585584.018181818,7973437.5,12915650.82644628,20930273.4375,53277059.6590909
6400,4927750.704761905,6960035.296969697,6898848,10012685.963636365,8359183.673469389,13540495.867768591,21942857.14285714,55854545.454545446
6500,5144088.23809524,7265591.666666665,7201726.071428573,10452257.636363635,8757174.74489796,14185175.619834708,22987583.70535714,58513849.43181819
6600,5366654.228571429,7579959.999999998,7513322.142857144,10904504.4,9167602.040816326,14850000,24064955.35714286,61256250
6700,5595536.904761905,7903229.042424241,7833759.642857144,11369573.527272727,9590656.887755102,15535278.925619835,25175474.33035714,64083025.56818181
6800,5830830,8235579.321212121,8163173.333333334,11847674.618181817,10026530.6122449,16241322.314049587,26319642.857142862,66995454.54545455
6900,6072625.271428573,8577078.872727271,8501683.857142856,12338965.145454545,10475414.540816326,16968440.082644626,27497963.16964286,69994815.34090908
7000,6321002.333333334,8927890.787878785,8849406.666666666,12842730.727272728,10937500,17716942.14876033,28710937.500000004,73082386.36363636
7100,6576049.414285714,9288120.6,9206465.190476192,13356025.581818182,11412978.31632653,18487138.429752063,29959068.080357146,76259446.02272727
7200,6837854.742857143,9657891.927272726,9572988,13878611.345454546,11902040.81632653,19279338.842975203,31242857.14285714,79527272.72727272
7300,7106506.547619048,10037351.345454544,9949109.16666667,14410488.01818182,12404878.826530611,20093853.305785127,32562806.91964286,82887144.88636363
7400,7382093.0571428565,10426581.61212121,10334936.904761905,14951655.600000001,12921683.673469389,20930991.73553719,33919419.64285714,86340340.90909089
7500,7664702.5,10825768.636363635,10730594.642857146,15502114.090909092,13452646.68367347,21791064.049586777,35313197.54464286,89888139.20454545
7600,7954424.914285715,11234976.824242422,11136205.809523813,16061863.490909094,13997959.183673473,22674380.165289257,36744642.85714286,93531818.18181817
7700,8251361.066666666,11654370,11551914.000000002,16630903.800000003,14557812.500000002,23581250,38214257.8125,97272656.24999999
7800,8555585.257142855,12084055.454545455,11977824.857142858,17209235.01818182,15132397.959183676,24511983.47107438,39722544.64285715,101111931.81818183
